track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,key,release_date
"family ties (with Kendrick Lamar)","KENDRICK LAMAR, BABY KEEM",2,6308,5,560222750,114,15,63,0,2,C#,2021-08-27
Far,SZA,1,680,0,51641685,2,15,1,0,0,D,2022-12-09
"Fast Car","LUKE COMBS",1,1446,12,157058870,57,97,35,0,429,G#,2023-03-24
"Father Time (feat Sampha)","KENDRICK LAMAR, SAMPHA",2,3107,0,127309180,4,0,22,0,0,A#,2022-05-13
"favorite crime","OLIVIA RODRIGO",1,3681,0,783706581,20,21,99,0,7,A,2021-05-21
FEARLESS,"LE SSERAFIM",1,629,0,229497852,18,75,9,0,0,G,2022-05-02
"Feliz Cumpleaos Fe",FEID,1,3430,38,601863821,45,69,52,4,3,F,2022-08-19
"Feliz Navidad","JOS FELIC",1,3788,0,520034544,21,3,10,0,0,D,1970-11-01
Ferrari,"JAMES HYPE, MIGGY DELA ROSA",2,7758,28,462791599,173,79,175,0,168,C#,2022-03-14
"Ferxxo 100",FEID,1,1647,30,278920007,20,49,23,2,2,G#,2022-06-03
"Fim de Semana no Rio",TETO,1,315,2,139193812,27,2,31,0,0,C#,2022-03-30
"Fin de Semana","OSCAR MAYDON, JUNIOR H",2,592,14,307370144,11,84,6,1,30,NULL,2023-01-13
"Fingers Crossed","LAUREN SPENCER SMITH, LAUREN SPENCER SMITH, LAUREN SPENCER SMITH",3,2235,0,349585590,65,7,70,16,6,F,2022-01-05
"First Class","JACK HARLOW",1,8737,0,694525298,163,32,137,15,12,G#,2022-04-08
FLOWER,JISOO,1,839,18,232896922,20,110,20,0,69,A,2023-03-31
Flowers,"LAUREN SPENCER SMITH",1,801,0,184826429,42,9,24,1,1,D#,2021-08-09
"For Youth",BTS,1,327,0,114546317,5,40,12,0,0,D,2022-06-10
Forever,LABRINTH,1,3618,0,282883169,21,86,138,0,2,E,2019-10-04
"Forget Me","LEWIS CAPALDI",1,2520,4,239411309,93,95,84,9,202,C#,2022-09-09
Formula,LABRINTH,1,3444,7,554875730,24,85,102,0,1,B,2019-10-04
Freaks,"SURF CURSE",1,3006,3,824420218,23,21,121,0,13,A,2015-05-10
"Freaky Deaky","TYGA, DOJA CAT",2,1729,0,153240879,26,1,19,0,0,D,2022-02-25
"Frgil (feat Grupo Front","YAHRITZA Y SU ESENCIA, GRUPO FRONTERA",2,672,34,188933502,19,108,24,9,212,F#,2023-04-07
"Friday (feat Mufasa  Hypeman)  Dopamine ReEdit","RITON, NIGHTCRAWLERS, MUFASA  HYPEMAN, DOPAMINE",4,12043,0,863756573,209,54,710,0,18,D,2021-01-15
"Fuera del mercado","DANNY OCEAN",1,2499,21,421365166,68,24,43,1,0,G#,2022-02-17
fukumean,GUNNA,1,1096,83,95217315,60,210,48,11,953,C#,2023-05-15
Gasolina,"DADDY YANKEE",1,6457,18,657723613,98,95,453,0,454,NULL,2004-07-13
Gasoline,"THE WEEKND",1,2297,0,116903579,11,29,14,0,0,F#,2022-01-07
GAT,"MALDY, KAROL G",2,3328,13,322336177,39,50,57,3,1,B,2022-08-25
Gatita,BELLAKATH,1,1054,0,168684524,9,0,15,0,1,G,2022-10-03
"Gato de Noche","NENGO FLOW, BAD BUNNY",2,2651,30,304118600,21,55,32,3,0,G#,2022-12-22
"Get Into It (Yuh)","DOJA CAT",1,4999,0,516784627,43,19,73,12,0,G#,2021-06-25
"Ghost in the Machine (feat Phoebe Bridgers)","SZA, PHOEBE BRIDGERS",2,1634,0,110073250,16,20,4,0,0,F#,2022-12-09
"Ginseng Strip 2002","YUNG LEAN",1,4310,0,240769997,13,0,113,1,3,C#,2013-08-16
GIVENCHY,DUKI,1,625,4,185236961,13,18,12,0,0,G#,2022-07-20
"Glimpse of Us",JOJI,1,6330,6,988515741,109,42,158,3,31,G#,2022-06-10
"Gol Bolinha Gol Quadrado 2","MC PEDRINHO, DJ 900",2,293,8,11956641,5,2,30,2,66,B,2023-06-01
Golden,"HARRY STYLES",1,8429,1,807015863,85,24,200,0,2,E,2019-12-13
"golden hour",JVKE,1,4511,36,751134527,70,58,109,18,230,C#,2022-07-15
"Gone Girl",SZA,1,892,0,65362788,3,17,2,0,0,F,2022-12-09
"Good Days",SZA,1,10426,2,826623384,133,109,182,1,10,C#,2020-12-24
"Good Looking","SUKI WATERHOUSE",1,2264,0,184706613,11,6,25,0,1,E,2017-10-20
"Gospel (with Eminem)","EMINEM, DR DRE",2,1040,0,64787943,8,0,29,0,0,C#,2022-02-04
Grapejuice,"HARRY STYLES",1,1986,0,199587884,7,1,15,0,0,F,2022-05-20
Haegeum,"AGUST D",1,244,12,118810253,6,84,10,2,9,G,2023-04-21
happier,"OLIVIA RODRIGO",1,3069,4,850608354,25,46,105,0,45,F#,2021-05-21
"Happier Than Ever  Edit","BILLIE EILISH",1,1959,0,412795151,19,0,38,0,0,NULL,2021-07-28
HAPPY,NF,1,660,0,52722996,22,7,11,0,78,G,2023-03-25
"Happy Xmas (War Is Over)","JOHN LENNON, THE HARLEM COMMUNITY CHOIR, THE PLASTIC ONO BAND, YOKO ONO",4,10829,0,460492795,130,1,390,0,0,D,1971-12-01
"HatiHati di Jalan",TULUS,1,200,2,202677468,12,4,0,0,0,F#,2022-03-03
"Have You Ever Seen The Rain?","CREEDENCE CLEARWATER REVIVAL",1,15890,14,1145727611,71,37,653,0,167,NULL,1968-07-01
"Heart To Heart","MAC DEMARCO",1,1640,0,244658767,27,27,29,1,1,G#,2019-05-10
"HEARTBREAK ANNIVERSARY",GIVEON,1,5398,4,951637566,111,127,210,0,37,NULL,2020-02-21
Heather,"CONAN GRAY",1,6170,7,1301799902,82,1,231,0,2,F,2020-03-20
Heaven,"NIALL HORAN",1,1553,2,144584800,61,6,48,0,150,F,2023-02-17
"Here We Go Again (feat Tyler the Cr","THE WEEKND, TYLER, THE CREATOR",3,1420,0,88103848,7,18,7,0,0,C#,2022-01-07
"Here With Me",D4VD,1,3246,23,635412045,94,85,68,1,84,E,2022-07-17
"Hey Mor","OZUNA, FEID",2,4637,38,674072710,63,79,89,11,16,C#,2022-10-06
"Hey Mickey","BABY TATE",1,482,0,122763672,9,1,12,4,3,D,2016-09-27
"Hits Different","TAYLOR SWIFT",1,547,0,68616963,15,15,6,0,0,F,2023-05-26
"Hold Me Closer","ELTON JOHN, BRITNEY SPEARS",2,4967,0,284216603,165,10,177,4,73,NULL,2017-11-10
"Hold My Hand","LADY GAGA",1,2528,0,238350348,63,8,270,2,105,G,2022-05-03
"Holly Jolly Christmas","MICHAEL BUBL",1,7655,0,476244795,5,0,291,0,0,G,2011-10-14
"Honest (feat Don Toliver)","JUSTIN BIEBER, DON TOLIVER",2,1351,0,106919680,26,1,17,0,0,G#,2022-04-29
Hope,XXXTENTACION,1,3659,0,1200808494,11,10,267,0,7,A,2018-03-16
